               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10699,            0.028223,             0.05856,           0.0027671,             0.48735,           0.0073631,           0.0018578,            0.086776,             0.01504,            0.052895,              0.0811,              0.0021,              0.0021
                   1,             0.08097,            0.026124,            0.047893,            0.059653,             0.47507,            0.090559,            0.027916,            0.068273,            0.011581,            0.039336,            0.061257,           0.0042574,           0.0042574
                   2,            0.070055,            0.024332,            0.038746,             0.15509,             0.22069,             0.11526,            0.037754,             0.06296,            0.011547,            0.032893,            0.041371,           0.0063713,           0.0063713
                   3,            0.064765,            0.023089,            0.035144,             0.15725,             0.33198,             0.16212,            0.059709,             0.06272,            0.010935,            0.027585,            0.021442,           0.0084416,           0.0084416
                   4,            0.063473,            0.021948,             0.03083,             0.50518,             0.26192,             0.21169,            0.088043,            0.065144,            0.010933,            0.029567,            0.009604,            0.009604,            0.009604
                   5,            0.059817,             0.02309,             0.02943,             0.20112,             0.45699,             0.27299,             0.10278,            0.066982,            0.016249,            0.027579,            0.009604,            0.009604,            0.009604
                   6,            0.057709,            0.021756,             0.02839,             0.45171,              0.4219,             0.29667,            0.097426,            0.053939,            0.014168,            0.021506,            0.009505,            0.009505,            0.009505
                   7,            0.055115,            0.022465,            0.026269,              0.5231,             0.46702,             0.39197,             0.14908,             0.05349,            0.012489,            0.016328,            0.009406,            0.009406,            0.009406
                   8,            0.052954,            0.021796,            0.025196,             0.46107,              0.2907,             0.24014,            0.090801,            0.055088,            0.012801,            0.023153,            0.009307,            0.009307,            0.009307
                   9,            0.053193,             0.02159,            0.024319,             0.38833,             0.37965,             0.32349,             0.12232,            0.052332,            0.011577,            0.025018,            0.009208,            0.009208,            0.009208
                  10,            0.053673,            0.020956,             0.02396,             0.36101,             0.49754,             0.38231,              0.1565,            0.053626,            0.010707,            0.022141,            0.009109,            0.009109,            0.009109
                  11,            0.051026,            0.021206,             0.02281,             0.38966,             0.53719,             0.42245,              0.1613,            0.047062,           0.0093091,            0.026398,             0.00901,             0.00901,             0.00901
                  12,             0.05157,            0.021335,            0.021725,             0.53159,             0.53774,             0.53183,             0.22314,             0.04823,            0.010185,            0.015449,            0.008911,            0.008911,            0.008911
                  13,            0.050037,            0.021438,            0.020635,             0.41986,             0.47732,             0.39695,             0.16606,            0.052633,            0.010122,            0.022917,            0.008812,            0.008812,            0.008812
                  14,            0.049578,            0.021572,            0.021414,             0.49301,             0.54378,             0.51166,             0.21285,            0.048222,            0.010776,            0.015398,            0.008713,            0.008713,            0.008713
                  15,            0.048377,            0.021136,            0.020921,             0.59044,             0.49646,             0.54113,             0.25179,            0.047795,            0.009253,            0.016965,            0.008614,            0.008614,            0.008614
                  16,            0.049712,            0.020192,            0.019107,             0.48973,             0.55489,             0.49543,             0.19811,            0.050817,           0.0090797,            0.015397,            0.008515,            0.008515,            0.008515
                  17,              0.0494,             0.02033,            0.018793,             0.54291,              0.5298,             0.54148,             0.21554,            0.047508,           0.0090238,            0.011157,            0.008416,            0.008416,            0.008416
                  18,            0.047038,            0.021062,            0.017658,             0.64007,             0.57706,             0.62694,             0.29252,            0.041756,           0.0088465,            0.013351,            0.008317,            0.008317,            0.008317
                  19,            0.048405,            0.021227,            0.017775,             0.56885,             0.56398,             0.57956,             0.25907,            0.040032,           0.0091807,            0.012443,            0.008218,            0.008218,            0.008218
                  20,            0.046159,            0.020523,             0.01684,             0.51704,             0.47363,             0.48567,             0.23683,             0.04224,            0.010089,            0.026463,            0.008119,            0.008119,            0.008119
                  21,             0.04582,            0.019931,            0.016608,             0.64033,             0.64825,             0.67936,             0.33662,            0.039194,            0.008628,           0.0097767,             0.00802,             0.00802,             0.00802
                  22,            0.045889,            0.020547,            0.016749,             0.63028,             0.68536,             0.70308,             0.33643,             0.03987,           0.0087167,           0.0093498,            0.007921,            0.007921,            0.007921
                  23,            0.044573,            0.020085,            0.016517,             0.72056,             0.74364,             0.78979,             0.38467,            0.037691,           0.0080985,           0.0064702,            0.007822,            0.007822,            0.007822
                  24,            0.045616,            0.019801,            0.015704,               0.687,             0.71656,             0.74125,             0.34588,            0.037497,           0.0078927,           0.0057963,            0.007723,            0.007723,            0.007723
                  25,            0.044352,            0.019954,            0.015022,             0.70962,             0.68883,             0.75776,             0.37418,            0.036286,           0.0082506,            0.006174,            0.007624,            0.007624,            0.007624
                  26,            0.044218,            0.019879,            0.014937,             0.65252,             0.64637,             0.68876,             0.32411,            0.040668,           0.0085026,            0.015222,            0.007525,            0.007525,            0.007525
                  27,            0.043279,            0.020648,             0.01455,             0.75096,             0.77534,             0.81732,             0.42001,            0.035227,           0.0074812,            0.004727,            0.007426,            0.007426,            0.007426
                  28,            0.043656,            0.019695,            0.015257,             0.71096,             0.78115,             0.84266,             0.42624,            0.035128,           0.0075507,           0.0049417,            0.007327,            0.007327,            0.007327
                  29,            0.043693,            0.019481,             0.01591,             0.75125,             0.78756,             0.83041,             0.42114,            0.035604,            0.007944,           0.0061223,            0.007228,            0.007228,            0.007228
                  30,            0.041317,            0.019725,            0.013364,             0.70011,             0.78426,             0.81602,             0.40847,            0.035909,           0.0079941,           0.0069391,            0.007129,            0.007129,            0.007129
                  31,            0.042699,            0.019877,            0.015181,             0.70507,             0.73425,             0.79296,             0.39037,            0.036424,           0.0078235,           0.0068668,             0.00703,             0.00703,             0.00703
                  32,            0.042623,            0.019396,            0.014572,             0.72801,             0.73062,              0.7948,             0.37945,            0.037259,           0.0079576,           0.0098308,            0.006931,            0.006931,            0.006931
                  33,            0.042389,            0.018892,            0.013818,             0.75586,             0.78008,             0.84751,             0.44033,             0.03619,           0.0076797,           0.0049913,            0.006832,            0.006832,            0.006832
                  34,            0.042133,            0.019414,            0.013863,             0.69666,             0.72011,             0.76464,             0.39294,            0.035916,           0.0077325,           0.0079253,            0.006733,            0.006733,            0.006733
                  35,            0.041302,            0.019533,            0.013977,             0.72134,              0.7655,             0.81346,             0.42247,            0.035427,           0.0074766,            0.004788,            0.006634,            0.006634,            0.006634
                  36,            0.040979,            0.019096,            0.013518,             0.78429,             0.82986,             0.88248,             0.44771,            0.033754,           0.0072298,           0.0039445,            0.006535,            0.006535,            0.006535
